,Sentence,sequences,length,Emotion
425,feel hesitant comment want add clear involved learned past experience interested learning future project,"['feel', 'hesitant', 'comment', 'want', 'add', 'clear', 'involved', 'learned', 'past', 'experience', 'interested', 'learning', 'future', 'project']",14,fear
428,find much time think without feeling depressed actually able write imagine without feeling trapped like missing something near constant feeling city,"['find', 'much', 'time', 'think', 'without', 'feeling', 'depressed', 'actually', 'able', 'write', 'imagine', 'without', 'feeling', 'trapped', 'like', 'missing', 'something', 'near', 'constant', 'feeling', 'city']",21,sadness
430,feel like fake feeling lot often would,"['feel', 'like', 'fake', 'feeling', 'lot', 'often', 'would']",7,sadness
432,really like said understand way feel blamed excess dream seldom never er seen hah hah hah hah hah,"['really', 'like', 'said', 'understand', 'way', 'feel', 'blamed', 'excess', 'dream', 'seldom', 'never', 'er', 'seen', 'hah', 'hah', 'hah', 'hah', 'hah']",18,sadness
434,dont know want work always something make feel anxious work whatever job may job require sort rule pressure,"['dont', 'know', 'want', 'work', 'always', 'something', 'make', 'feel', 'anxious', 'work', 'whatever', 'job', 'may', 'job', 'require', 'sort', 'rule', 'pressure']",18,sadness
437,feel like normally would angry thats actually think could never beautiful size,"['feel', 'like', 'normally', 'would', 'angry', 'thats', 'actually', 'think', 'could', 'never', 'beautiful', 'size']",12,anger
438,wonder many people feel like perspective think sake without wanting turn result work,"['wonder', 'many', 'people', 'feel', 'like', 'perspective', 'think', 'sake', 'without', 'wanting', 'turn', 'result', 'work']",13,sadness
439,feel indecisive whether feel book huckleberry,"['feel', 'indecisive', 'whether', 'feel', 'book', 'huckleberry']",6,fear
440,known like laugh feel unpleasant knot stomach must think fool,"['known', 'like', 'laugh', 'feel', 'unpleasant', 'knot', 'stomach', 'must', 'think', 'fool']",10,sadness
441,made choice start feeling unloved kick choose keep persistence level old reaction shut,"['made', 'choice', 'start', 'feeling', 'unloved', 'kick', 'choose', 'keep', 'persistence', 'level', 'old', 'reaction', 'shut']",13,sadness
442,feel like celebrated cant wait till day say made,"['feel', 'like', 'celebrated', 'cant', 'wait', 'till', 'day', 'say', 'made']",9,anger
447,feeling lately,"['feeling', 'lately']",2,fear
449,feel rebellious particularly like watching get feeling may pretty good writing,"['feel', 'rebellious', 'particularly', 'like', 'watching', 'get', 'feeling', 'may', 'pretty', 'good', 'writing']",11,anger
451,feeling skeptical,"['feeling', 'skeptical']",2,fear
452,become anxious recent time certainly feeling amongst people belief siege often considered way different faith make worthy regard said,"['become', 'anxious', 'recent', 'time', 'certainly', 'feeling', 'amongst', 'people', 'belief', 'siege', 'often', 'considered', 'way', 'different', 'faith', 'make', 'worthy', 'regard', 'said']",19,sadness
453,feel like care bit heartless,"['feel', 'like', 'care', 'bit', 'heartless']",5,anger
454,hate thought toxin washing every single cell making feel horrible make cringe,"['hate', 'thought', 'toxin', 'washing', 'every', 'single', 'cell', 'making', 'feel', 'horrible', 'make', 'cringe']",12,sadness
456,love feel around little,"['love', 'feel', 'around', 'little']",4,fear
462,feel hurting,"['feel', 'hurting']",2,anger
463,always feel like pic,"['always', 'feel', 'like', 'pic']",4,sadness
465,feel incredibly isolated lonely,"['feel', 'incredibly', 'isolated', 'lonely']",4,sadness
466,feel selfish talk anyone else thyroid want think dramatic whiny really hard understand yes someone look fine still feel terrible,"['feel', 'selfish', 'talk', 'anyone', 'else', 'thyroid', 'want', 'think', 'dramatic', 'whiny', 'really', 'hard', 'understand', 'yes', 'someone', 'look', 'fine', 'still', 'feel', 'terrible']",20,anger
468,admit worried feeling isolated work cubicle pretty much unless someone need,"['admit', 'worried', 'feeling', 'isolated', 'work', 'cubicle', 'pretty', 'much', 'unless', 'someone', 'need']",11,sadness
470,going clean slate unilaterally forgiving feel wronged someone love intentionally carelessness thereby time forget insult abuse,"['going', 'clean', 'slate', 'unilaterally', 'forgiving', 'feel', 'wronged', 'someone', 'love', 'intentionally', 'carelessness', 'thereby', 'time', 'forget', 'insult', 'abuse']",16,anger
475,make light sometimes feel really awkward small group one one conversation,"['make', 'light', 'sometimes', 'feel', 'really', 'awkward', 'small', 'group', 'one', 'one', 'conversation']",11,sadness
477,also feel like know,"['also', 'feel', 'like', 'know']",4,sadness
479,feel like feel mistake time sleep take,"['feel', 'like', 'feel', 'mistake', 'time', 'sleep', 'take']",7,anger
481,found novel position feeling bit uncertain stock market rally,"['found', 'novel', 'position', 'feeling', 'bit', 'uncertain', 'stock', 'market', 'rally']",9,fear
482,feel like want seem like needy girl know,"['feel', 'like', 'want', 'seem', 'like', 'needy', 'girl', 'know']",8,sadness
484,feel presence,"['feel', 'presence']",2,sadness
490,feel really pathetic,"['feel', 'really', 'pathetic']",3,sadness
491,feel dangerous game activity,"['feel', 'dangerous', 'game', 'activity']",4,anger
493,feeling terribly impending anxiety trying keep eye prize,"['feeling', 'terribly', 'impending', 'anxiety', 'trying', 'keep', 'eye', 'prize']",8,sadness
494,feel could unpleasant layered love healing forgiveness expectation thing turn well,"['feel', 'could', 'unpleasant', 'layered', 'love', 'healing', 'forgiveness', 'expectation', 'thing', 'turn', 'well']",11,sadness
495,feeling gloomy nothing though supposed complete many thing,"['feeling', 'gloomy', 'nothing', 'though', 'supposed', 'complete', 'many', 'thing']",8,sadness
499,love child literature author feel need dumb thing,"['love', 'child', 'literature', 'author', 'feel', 'need', 'dumb', 'thing']",8,sadness
500,quiet mixture sleeping well feeling bit isolated big group,"['quiet', 'mixture', 'sleeping', 'well', 'feeling', 'bit', 'isolated', 'big', 'group']",9,sadness
501,feel greedy money hungry absolutely,"['feel', 'greedy', 'money', 'hungry', 'absolutely']",5,anger
502,feel want shut,"['feel', 'want', 'shut']",3,anger
504,feel like today way suffering exam day open book went home,"['feel', 'like', 'today', 'way', 'suffering', 'exam', 'day', 'open', 'book', 'went', 'home']",11,sadness
508,feel miserable inside outside like,"['feel', 'miserable', 'inside', 'outside', 'like']",5,sadness
509,must find way accept limitation older without feeling back resentful,"['must', 'find', 'way', 'accept', 'limitation', 'older', 'without', 'feeling', 'back', 'resentful']",10,anger
511,feel wronged judge people make time however also found actually life need responsible action people around,"['feel', 'wronged', 'judge', 'people', 'make', 'time', 'however', 'also', 'found', 'actually', 'life', 'need', 'responsible', 'action', 'people', 'around']",16,anger
515,currently feeling way mother tongue paper,"['currently', 'feeling', 'way', 'mother', 'tongue', 'paper']",6,anger
523,always sensitive every sense feel like drag away darkness,"['always', 'sensitive', 'every', 'sense', 'feel', 'like', 'drag', 'away', 'darkness']",9,fear
525,help feel totally distraught utterly helpless tortured almost death band enemy desperate freedom,"['help', 'feel', 'totally', 'distraught', 'utterly', 'helpless', 'tortured', 'almost', 'death', 'band', 'enemy', 'desperate', 'freedom']",13,fear
526,feel unfortunate mister magnum sound cheer well long period race,"['feel', 'unfortunate', 'mister', 'magnum', 'sound', 'cheer', 'well', 'long', 'period', 'race']",10,sadness
527,feel tortured tragic enough without importance sparkle,"['feel', 'tortured', 'tragic', 'enough', 'without', 'importance', 'sparkle']",7,anger
528,feel selfish thinking way feel lonely time,"['feel', 'selfish', 'thinking', 'way', 'feel', 'lonely', 'time']",7,anger
529,feel drained energy,"['feel', 'drained', 'energy']",3,sadness
531,feeling pretty horrible reviewer,"['feeling', 'pretty', 'horrible', 'reviewer']",4,sadness
532,feel helpless,"['feel', 'helpless']",2,sadness
533,feeling awful,"['feeling', 'awful']",2,sadness
535,woke nap feel extremely grumpy,"['woke', 'nap', 'feel', 'extremely', 'grumpy']",5,fear
536,really hard pretty word never crossed mind portray exact meaning feel like lot,"['really', 'hard', 'pretty', 'word', 'never', 'crossed', 'mind', 'portray', 'exact', 'meaning', 'feel', 'like', 'lot']",13,sadness
537,feel lonely work social bird usually school,"['feel', 'lonely', 'work', 'social', 'bird', 'usually', 'school']",7,sadness
539,feel great woman family tree,"['feel', 'great', 'woman', 'family', 'tree']",5,fear
541,think may reason would want fly back oblivious conflict plague conflict feel helpless,"['think', 'may', 'reason', 'would', 'want', 'fly', 'back', 'oblivious', 'conflict', 'plague', 'conflict', 'feel', 'helpless']",13,sadness
542,saw video kissing maria surprisingly didnt feel like,"['saw', 'video', 'kissing', 'maria', 'surprisingly', 'didnt', 'feel', 'like']",8,sadness
543,feel like rather unkind,"['feel', 'like', 'rather', 'unkind']",4,anger
544,feeling submissive,"['feeling', 'submissive']",2,sadness
545,feel bit obnoxious weather,"['feel', 'bit', 'obnoxious', 'weather']",4,anger
546,say pressing torso face close enough feel breath,"['say', 'pressing', 'torso', 'face', 'close', 'enough', 'feel', 'breath']",8,anger
550,sat couch several hour feeling pretty low,"['sat', 'couch', 'several', 'hour', 'feeling', 'pretty', 'low']",7,sadness
559,say little piece feel watch discussion race style color font family serif font size line height,"['say', 'little', 'piece', 'feel', 'watch', 'discussion', 'race', 'style', 'color', 'font', 'family', 'serif', 'font', 'size', 'line', 'height']",16,fear
560,feel cant touch said love bit much wont deny broke heart cant find crush dont come back home,"['feel', 'cant', 'touch', 'said', 'love', 'bit', 'much', 'wont', 'deny', 'broke', 'heart', 'cant', 'find', 'crush', 'dont', 'come', 'back', 'home']",18,sadness
561,feel little ache longing settled heart weariness life slipped around shoulder like unwelcome friend,"['feel', 'little', 'ache', 'longing', 'settled', 'heart', 'weariness', 'life', 'slipped', 'around', 'shoulder', 'like', 'unwelcome', 'friend']",14,anger
562,even remember trying last year feeling nowhere near,"['even', 'remember', 'trying', 'last', 'year', 'feeling', 'nowhere', 'near']",8,sadness
563,broke uncle radio player accidentally feared going cut going house well,"['broke', 'uncle', 'radio', 'player', 'accidentally', 'feared', 'going', 'cut', 'going', 'house', 'well']",11,fear
565,feeling impatient took pill,"['feeling', 'impatient', 'took', 'pill']",4,anger
568,one point put son constantly made feel like terrible parent,"['one', 'point', 'put', 'son', 'constantly', 'made', 'feel', 'like', 'terrible', 'parent']",10,sadness
570,feel uncertain motif feel process reconciliation,"['feel', 'uncertain', 'motif', 'feel', 'process', 'reconciliation']",6,fear
572,feel like go emotion angry,"['feel', 'like', 'go', 'emotion', 'angry']",5,anger
573,much training grammar language reading something written like kind feel like,"['much', 'training', 'grammar', 'language', 'reading', 'something', 'written', 'like', 'kind', 'feel', 'like']",11,sadness
574,feeling everyone,"['feeling', 'everyone']",2,anger
578,know scone must food determined live frugal without feeling,"['know', 'scone', 'must', 'food', 'determined', 'live', 'frugal', 'without', 'feeling']",9,sadness
579,giggle nervously feel,"['giggle', 'nervously', 'feel']",3,fear
580,feel horrible helplessness make thing better feel like kill inside,"['feel', 'horrible', 'helplessness', 'make', 'thing', 'better', 'feel', 'like', 'kill', 'inside']",10,sadness
581,taking picture house feel far messy post photo ill clean bit post,"['taking', 'picture', 'house', 'feel', 'far', 'messy', 'post', 'photo', 'ill', 'clean', 'bit', 'post']",12,sadness
582,feel,['feel'],1,sadness
583,picked feeling little apprehensive,"['picked', 'feeling', 'little', 'apprehensive']",4,fear
584,feeling numb,"['feeling', 'numb']",2,sadness
585,feeling every bit spiteful vindictive bitch time,"['feeling', 'every', 'bit', 'spiteful', 'vindictive', 'bitch', 'time']",7,anger
588,feel unfortunate dont,"['feel', 'unfortunate', 'dont']",3,sadness
589,believe feel nervous father nothing nervous make nervous,"['believe', 'feel', 'nervous', 'father', 'nothing', 'nervous', 'make', 'nervous']",8,fear
590,feel day complete he around feel right little dream date thing pursue wedding always dream mine day min,"['feel', 'day', 'complete', 'he', 'around', 'feel', 'right', 'little', 'dream', 'date', 'thing', 'pursue', 'wedding', 'always', 'dream', 'mine', 'day', 'min']",18,fear
591,think would come fast would come suppose feel cranky today,"['think', 'would', 'come', 'fast', 'would', 'come', 'suppose', 'feel', 'cranky', 'today']",10,anger
592,feeling going stubborn,"['feeling', 'going', 'stubborn']",3,anger
593,feel lonely lost,"['feel', 'lonely', 'lost']",3,sadness
594,would feel empty,"['would', 'feel', 'empty']",3,sadness
595,start feel patience right cranky,"['start', 'feel', 'patience', 'right', 'cranky']",5,anger
596,know easy twist thing create explanation still sure one help feel little mad,"['know', 'easy', 'twist', 'thing', 'create', 'explanation', 'still', 'sure', 'one', 'help', 'feel', 'little', 'mad']",13,anger
598,didnt tell didnt want feel afraid,"['didnt', 'tell', 'didnt', 'want', 'feel', 'afraid']",6,fear
599,love medium coverage sometime feel put ugly picture,"['love', 'medium', 'coverage', 'sometime', 'feel', 'put', 'ugly', 'picture']",8,sadness
600,feel though little neglectful fellow,"['feel', 'though', 'little', 'neglectful', 'fellow']",5,sadness
601,sort hate glass make eye look small since huge eye going quite upset bigger frame make feel paranoid,"['sort', 'hate', 'glass', 'make', 'eye', 'look', 'small', 'since', 'huge', 'eye', 'going', 'quite', 'upset', 'bigger', 'frame', 'make', 'feel', 'paranoid']",18,fear
603,feel distressed music mind rewrite,"['feel', 'distressed', 'music', 'mind', 'rewrite']",5,fear
